R' U' R U' R' U2 R U R U2 R' U' R U' R'  (15f*) 
R' U2 R' U' R U2 R2 U2 R' U R U2 R2 U R' U' R U' R'  (19f) 
R2 U' R' U2 R' U' R2 U2 R' U' R' U R2 U' R2 U' R U' R'  (19f) 
R' U2 R' U R2 U' R2 U2 R U' R' U2 R' U2 R U' R U' R'  (19f) 
R' U' R U' R' U R2 U2 R U R' U2 R2 U2 R U' R' U2 R'  (19f) 
R' U' R U' R U2 R' U2 R' U' R U2 R2 U' R2 U R' U2 R'  (19f) 
R U R U' R2 U' R U2 R' U' R U' R U R2 U R U2 R'  (19f) 
R' U' R' U R2 U' R U' R' U' R2 U R U' R U R U R'  (19f) 
R' U' R' U R U' R' U2 R U R U' R U2 R U R U R'  (19f) 
R' U' R U' R2 U' R2 U R' U' R' U2 R2 U' R' U2 R' U' R2  (19f) 
R2 U R U R2 U R' U2 R' U2 R U R2 U2 R2 U R' U' R2  (19f) 
R U2 R2 U R' U R2 U R2 U' R U2 R2 U' R' U' R2 U' R2  (19f) 
R2 U R' U R' U' R U' R2 U2 R2 U R' U R2 U' R U' R2  (19f) 
R U' R U2 R U2 R' U' R' U2 R U2 R' U' R2 U R U' R2  (19f) 
R2 U2 R' U' R U2 R U R2 U R2 U R U2 R U' R' U2 R2  (19f) 
R U' R2 U' R' U2 R' U2 R' U' R2 U' R U R2 U2 R' U2 R2  (19f) 
R2 U' R U' R2 U R' U R2 U2 R2 U' R U' R' U R' U R2  (19f) 
R2 U' R' U R2 U2 R2 U R U2 R' U2 R' U R2 U R U R2  (19f) 
R2 U2 R' U2 R2 U R U' R2 U' R' U2 R' U2 R' U' R2 U' R  (19f) 
R2 U' R U R2 U' R' U2 R U2 R' U' R' U2 R U2 R U' R  (19f) 
R2 U' R2 U' R' U' R2 U2 R U' R2 U R2 U R' U R2 U2 R  (19f) 
R' U' R2 U R U R' U' R U' R2 U2 R2 U R2 U' R2 U R  (19f) 
R' U2 R U R2 U R U' R U' R' U2 R U' R2 U' R U R  (19f) 
R' U' R2 U2 R' U' R' U' R2 U2 R2 U R' U R U' R' U' R' U'  (20f) 
R U2 R U R2 U R' U' R U' R2 U2 R2 U R U' R' U' R' U'  (20f) 
R U R U R' U R U' R U R2 U' R' U' R2 U R U2 R' U'  (20f) 
R2 U2 R' U R U' R U R2 U' R' U' R2 U R U' R U' R2 U'  (20f) 
R' U' R' U' R U R U R' U R' U' R' U' R U R U' R2 U'  (20f) 
R' U' R' U' R' U R U R' U R' U' R' U R U R U' R2 U'  (20f) 
R2 U' R U' R' U' R2 U' R U R' U R2 U2 R2 U' R' U2 R2 U'  (20f) 
R' U R U R' U' R U R' U R U' R2 U' R U' R' U2 R2 U'  (20f) 
R2 U R2 U2 R2 U R' U R U' R2 U' R' U' R U R' U2 R2 U'  (20f) 
R2 U' R2 U2 R2 U' R U' R' U R2 U R U R' U' R U2 R2 U'  (20f) 
R U' R' U' R U R' U' R U' R' U R2 U R' U R U2 R2 U'  (20f) 
R2 U R' U R U R2 U R' U' R U' R2 U2 R2 U R U2 R2 U'  (20f) 
R U R U R U' R' U' R U' R U R U' R' U' R' U R2 U'  (20f) 
R U R U R' U' R' U' R U' R U R U R' U' R' U R2 U'  (20f) 
R2 U2 R U' R' U R' U' R2 U R U R2 U' R' U R' U R2 U'  (20f) 
R' U' R' U' R U' R' U R' U' R2 U R U R2 U' R' U2 R U'  (20f) 
R' U2 R' U' R2 U' R U R' U R2 U2 R2 U' R' U R U R U'  (20f) 
R U R2 U2 R U R U R2 U2 R2 U' R U' R' U R U R U'  (20f) 
R U2 R' U' R2 U' R' U R' U R U2 R' U R2 U R' U' R' U2  (20f) 
R U R2 U' R' U' R U R' U R2 U2 R2 U' R2 U R2 U' R' U2  (20f) 
R2 U R2 U R U R2 U2 R' U R2 U' R2 U' R U' R2 U2 R' U2  (20f) 
R2 U R' U' R2 U R U2 R' U2 R U R U2 R' U2 R' U R' U2  (20f) 
R2 U2 R U2 R2 U' R' U R2 U R U2 R U2 R U R2 U R' U2  (20f) 
R2 U R U' R2 U2 R2 U' R' U2 R U2 R U' R2 U' R' U' R2 U2  (20f) 
R2 U R' U R2 U' R U' R2 U2 R2 U R' U R U' R U' R2 U2  (20f) 
R' U R2 U R U2 R U2 R U R2 U R' U' R2 U2 R U2 R2 U2  (20f) 
R2 U2 R U R' U2 R' U' R2 U' R2 U' R' U2 R' U R U2 R2 U2  (20f) 
R' U R' U2 R' U2 R U R U2 R' U2 R U R2 U' R' U R2 U2  (20f) 
R2 U' R U' R U R' U R2 U2 R2 U' R U' R2 U R' U R2 U2  (20f) 
R' U2 R2 U' R U' R2 U' R2 U R' U2 R2 U R U R2 U R2 U2  (20f) 
R2 U' R' U' R2 U' R U2 R U2 R' U' R2 U2 R2 U' R U R2 U2  (20f) 
R U R' U R2 U R2 U' R U R U2 R2 U R U2 R U R2 U2  (20f) 
R U R U' R' U R U2 R' U' R' U R' U2 R' U' R' U' R U2  (20f) 
R U R U' R2 U R' U R U R2 U' R' U R' U' R' U' R U2  (20f) 
R' U' R' U R2 U R' U2 R U R' U R' U' R2 U' R' U2 R U2  (20f) 
R U R' U R' U2 R U2 R U R' U2 R2 U R2 U' R U2 R U2  (20f) 
R U R' U R U' R2 U2 R' U' R U2 R2 U2 R' U R U2 R U2  (20f) 
R U2 R U' R2 U R2 U2 R' U R U2 R U2 R' U R' U R U2  (20f) 
R2 U R U2 R U R2 U2 R U R U' R2 U R2 U R' U R U2  (20f) 
R U2 R U R' U2 R2 U2 R U' R' U2 R2 U' R U R' U R U2  (20f) 
R U R2 U R' U R U R2 U' R' U' R U R U R' U R U2  (20f) 
R' U' R2 U R2 U' R2 U2 R2 U R' U R U' R' U' R2 U R U2  (20f) 
R U R2 U2 R U R U2 R' U' R' U2 R U R U2 R2 U R U2  (20f) 
R U R' U R U R U' R' U' R2 U R U R' U R2 U R U2  (20f) 
R U' R' U' R' U2 R' U R' U' R' U2 R U R' U' R U R U2  (20f) 
R U' R' U' R' U R' U' R2 U R U R' U R2 U' R U R U2  (20f) 
R' U' R U R U' R U2 R2 U2 R U2 R2 U2 R' U' R U2 R' U  (20f) 
R2 U R U' R2 U R2 U2 R2 U' R U' R2 U2 R2 U R U' R2 U  (20f) 
R2 U' R' U R2 U' R2 U2 R2 U R' U R2 U2 R2 U' R' U R2 U  (20f) 
R U R' U' R' U R' U2 R2 U2 R' U2 R2 U2 R U R' U2 R U  (20f) 
U' R2 U' R U R U R' U' R' U R' U R U R' U' R' U' R'  (20f) 
U' R U2 R' U' R2 U R U R2 U' R' U R' U' R U' R' U' R'  (20f) 
U' R2 U' R U R U' R' U' R' U R' U R U R U' R' U' R'  (20f) 
U2 R U2 R' U' R2 U' R' U R' U R U2 R' U R2 U R' U' R'  (20f) 
U' R' U' R' U' R U R' U R2 U2 R2 U' R' U' R' U2 R2 U' R'  (20f) 
U2 R U R2 U' R' U' R U R' U R2 U2 R2 U' R2 U R2 U' R'  (20f) 
U R' U2 R U' R' U2 R2 U2 R U2 R2 U2 R U' R U R U' R'  (20f) 
U' R U R U R' U' R2 U2 R2 U R' U R U' R2 U' R' U2 R'  (20f) 
U2 R2 U R2 U R U R2 U2 R' U R2 U' R2 U' R U' R2 U2 R'  (20f) 
U2 R2 U R' U' R2 U R U2 R' U2 R U R U2 R' U2 R' U R'  (20f) 
U2 R2 U2 R U2 R2 U' R' U R2 U R U2 R U2 R U R2 U R'  (20f) 
U' R2 U2 R' U' R U' R2 U' R U R' U R U' R' U R U R'  (20f) 
U2 R2 U R U' R2 U2 R2 U' R' U2 R U2 R U' R2 U' R' U' R2  (20f) 
U R2 U R' U' R2 U2 R2 U R' U R2 U2 R2 U' R2 U R' U' R2  (20f) 
U' R2 U2 R U' R' U R U R2 U R' U' R U' R2 U2 R2 U' R2  (20f) 
U' R2 U2 R' U' R2 U2 R2 U R' U R U' R2 U' R' U' R U' R2  (20f) 
U2 R2 U R' U R2 U' R U' R2 U2 R2 U R' U R U' R U' R2  (20f) 
U' R2 U' R U' R U R2 U' R' U' R2 U R U' R U R' U2 R2  (20f) 
U' R2 U R' U R' U' R2 U R U R2 U' R' U R' U' R U2 R2  (20f) 
U2 R' U R2 U R U2 R U2 R U R2 U R' U' R2 U2 R U2 R2  (20f) 
U2 R2 U2 R U R' U2 R' U' R2 U' R2 U' R' U2 R' U R U2 R2  (20f) 
U2 R' U R' U2 R' U2 R U R U2 R' U2 R U R2 U' R' U R2  (20f) 
U2 R2 U' R U' R U R' U R2 U2 R2 U' R U' R2 U R' U R2  (20f) 
U' R2 U2 R U R2 U2 R2 U' R U' R' U R2 U R U R' U R2  (20f) 
U' R2 U2 R' U R U' R' U' R2 U' R U R' U R2 U2 R2 U R2  (20f) 
U2 R' U2 R2 U' R U' R2 U' R2 U R' U2 R2 U R U R2 U R2  (20f) 
U2 R2 U' R' U' R2 U' R U2 R U2 R' U' R2 U2 R2 U' R U R2  (20f) 
U R2 U' R U R2 U2 R2 U' R U' R2 U2 R2 U R2 U' R U R2  (20f) 
U2 R U R' U R2 U R2 U' R U R U2 R2 U R U2 R U R2  (20f) 
U2 R U R U' R' U R U2 R' U' R' U R' U2 R' U' R' U' R  (20f) 
U2 R U R U' R2 U R' U R U R2 U' R' U R' U' R' U' R  (20f) 
U' R2 U2 R U R' U R2 U R' U' R U' R' U R U' R' U' R  (20f) 
U2 R' U' R' U R2 U R' U2 R U R' U R' U' R2 U' R' U2 R  (20f) 
U2 R U R' U R' U2 R U2 R U R' U2 R2 U R2 U' R U2 R  (20f) 
U2 R U R' U R U' R2 U2 R' U' R U2 R2 U2 R' U R U2 R  (20f) 
U' R' U' R' U' R U R2 U2 R2 U' R U' R' U R2 U R U2 R  (20f) 
U R U2 R' U R U2 R2 U2 R' U2 R2 U2 R' U R' U' R' U R  (20f) 
U2 R U2 R U' R2 U R2 U2 R' U R U2 R U2 R' U R' U R  (20f) 
U2 R2 U R U2 R U R2 U2 R U R U' R2 U R2 U R' U R  (20f) 
U2 R U2 R U R' U2 R2 U2 R U' R' U2 R2 U' R U R' U R  (20f) 
U2 R U R2 U R' U R U R2 U' R' U' R U R U R' U R  (20f) 
U2 R' U' R2 U R2 U' R2 U2 R2 U R' U R U' R' U' R2 U R  (20f) 
U2 R U R2 U2 R U R U2 R' U' R' U2 R U R U2 R2 U R  (20f) 
U' R U R U R' U' R U' R2 U2 R2 U R U R U2 R2 U R  (20f) 
U2 R U R' U R U R U' R' U' R2 U R U R' U R2 U R  (20f) 
U2 R U' R' U' R' U2 R' U R' U' R' U2 R U R' U' R U R  (20f) 
U2 R U' R' U' R' U R' U' R2 U R U R' U R2 U' R U R  (20f) 
U' R2 U R' U' R' U R U R U' R U' R' U' R' U R U R  (20f) 
U' R' U2 R U R2 U' R' U' R2 U R U' R U R' U R U R  (20f) 
U' R2 U R' U' R' U' R U R U' R U' R' U' R U R U R  (20f) 
U R' U2 R U' R' U' R U2 R U' R2 U2 R' U2 R' U2 R' U' R' U'  (21f) 
U R U2 R2 U2 R' U' R U2 R' U2 R' U R U2 R U' R U' R' U'  (21f) 
U R' U2 R' U2 R2 U' R' U' R' U' R2 U R2 U2 R' U R U' R' U'  (21f) 
U R' U2 R2 U2 R2 U2 R2 U2 R U R' U' R U2 R U R U' R' U'  (21f) 
U R' U' R U R' U2 R2 U R2 U' R' U' R' U' R2 U2 R' U2 R' U'  (21f) 
U R' U' R U R U2 R U' R' U R U2 R2 U2 R2 U2 R2 U2 R' U'  (21f) 
U' R U R' U R' U2 R' U' R U2 R U2 R' U R U2 R2 U2 R' U'  (21f) 
U' R U2 R2 U' R' U' R2 U R2 U R U R' U' R' U R2 U2 R' U'  (21f) 
U R U2 R2 U' R U R U' R' U' R2 U' R2 U R U R2 U2 R' U'  (21f) 
U R' U' R' U2 R' U2 R' U2 R2 U' R U2 R U' R' U' R U2 R' U'  (21f) 
U2 R' U' R U R U' R U2 R2 U2 R U2 R2 U2 R' U' R U2 R' U'  (21f) 
U R2 U R' U' R' U' R U2 R' U' R2 U' R' U R' U R U2 R' U'  (21f) 
U' R' U2 R U R U2 R2 U R U' R U R2 U2 R U R U2 R' U'  (21f) 
U R2 U' R2 U2 R' U2 R' U' R' U2 R' U R U2 R2 U2 R' U R' U'  (21f) 
U R2 U' R U2 R2 U' R' U' R U R' U' R' U' R2 U2 R2 U R' U'  (21f) 
U' R2 U' R U2 R U R U' R U' R2 U2 R' U R U' R U R' U'  (21f) 
U R2 U' R U R U' R U' R' U' R' U R' U' R2 U R U R' U'  (21f) 
U R2 U R U R U' R U' R' U' R U R' U' R2 U R U R' U'  (21f) 
U' R U' R' U' R2 U R U' R' U R U R' U R' U' R' U' R2 U'  (21f) 
U R2 U' R U2 R U2 R2 U2 R' U' R' U' R U2 R2 U' R' U' R2 U'  (21f) 
U R2 U R' U2 R' U' R' U2 R' U2 R U R' U2 R2 U2 R' U' R2 U'  (21f) 
U R' U R' U2 R2 U2 R U R' U2 R' U' R' U2 R' U2 R2 U' R2 U'  (21f) 
U R' U R2 U2 R2 U' R' U' R' U R U' R' U' R2 U2 R U' R2 U'  (21f) 
U R2 U' R' U' R2 U2 R U' R' U' R' U2 R2 U2 R U2 R U' R2 U'  (21f) 
U' R' U R U' R U R' U2 R2 U' R U' R U R U2 R U' R2 U'  (21f) 
U' R2 U R U2 R2 U2 R U' R' U2 R U2 R U R U2 R U' R2 U'  (21f) 
U2 R2 U R U' R2 U R2 U2 R2 U' R U' R2 U2 R2 U R U' R2 U'  (21f) 
U R' U R U R2 U' R' U R' U' R' U' R U' R U R U' R2 U'  (21f) 
U' R U2 R' U' R U' R U R2 U R U2 R' U R U R U' R2 U'  (21f) 
U R' U2 R U R' U R' U' R2 U' R' U2 R U' R' U' R' U R2 U'  (21f) 
U' R U' R' U' R2 U R U' R U R U R' U R' U' R' U R2 U'  (21f) 
U2 R2 U' R' U R2 U' R2 U2 R2 U R' U R2 U2 R2 U' R' U R2 U'  (21f) 
U R2 U' R' U2 R2 U2 R' U R U2 R' U2 R' U' R' U2 R' U R2 U'  (21f) 
U R U' R' U R' U' R U2 R2 U R' U R' U' R' U2 R' U R2 U'  (21f) 
U' R2 U R U R2 U2 R' U R U R U2 R2 U2 R' U2 R' U R2 U'  (21f) 
U' R U' R2 U2 R2 U R U R U' R' U R U R2 U2 R' U R2 U'  (21f) 
U' R U' R U2 R2 U2 R' U' R U2 R U R U2 R U2 R2 U R2 U'  (21f) 
U' R2 U' R U2 R U R U2 R U2 R' U' R U2 R2 U2 R U R2 U'  (21f) 
U' R2 U R' U2 R' U2 R2 U2 R U R U R' U2 R2 U R U R2 U'  (21f) 
U R' U R U R2 U' R' U R U' R' U' R U' R U R U R2 U'  (21f) 
U' R2 U' R' U' R' U R' U R U R' U' R U R2 U' R' U' R U'  (21f) 
U' R2 U R' U' R' U R' U R U R U' R U R2 U' R' U' R U'  (21f) 
U R2 U R' U2 R' U' R' U R' U R2 U2 R U' R' U R' U' R U'  (21f) 
U' R2 U R' U2 R2 U R U R' U' R U R U R2 U2 R2 U' R U'  (21f) 
U' R2 U R2 U2 R U2 R U R U2 R U' R' U2 R2 U2 R U' R U'  (21f) 
U R U2 R' U' R' U2 R2 U' R' U R' U' R2 U2 R' U' R' U2 R U'  (21f) 
U' R2 U' R U R U R' U2 R U R2 U R U' R U' R' U2 R U'  (21f) 
U2 R U R' U' R' U R' U2 R2 U2 R' U2 R2 U2 R U R' U2 R U'  (21f) 
U' R U R U2 R U2 R U2 R2 U R' U2 R' U R U R' U2 R U'  (21f) 
U' R' U2 R2 U R' U' R' U R U R2 U R2 U' R' U' R2 U2 R U'  (21f) 
U R' U2 R2 U R U R2 U' R2 U' R' U' R U R U' R2 U2 R U'  (21f) 
U R' U' R U' R U2 R U R' U2 R' U2 R U' R' U2 R2 U2 R U'  (21f) 
U' R U R' U' R' U2 R' U R U' R' U2 R2 U2 R2 U2 R2 U2 R U'  (21f) 
U' R U R' U' R U2 R2 U' R2 U R U R U R2 U2 R U2 R U'  (21f) 
U' R U2 R2 U2 R2 U2 R2 U2 R' U' R U R' U2 R' U' R' U R U'  (21f) 
U' R U2 R U2 R2 U R U R U R2 U' R2 U2 R U' R' U R U'  (21f) 
U' R' U2 R2 U2 R U R' U2 R U2 R U' R' U2 R' U R' U R U'  (21f) 
U' R U2 R' U R U R' U2 R' U R2 U2 R U2 R U2 R U R U'  (21f) 
U R2 U' R U R U R' U' R' U R' U R U R' U' R' U' R' U2  (21f) 
U R U2 R' U' R2 U R U R2 U' R' U R' U' R U' R' U' R' U2  (21f) 
U R2 U' R U R U' R' U' R' U R' U R U R U' R' U' R' U2  (21f) 
U2 R' U R U R U' R U R2 U' R' U' R U' R2 U R' U' R' U2  (21f) 
U2 R' U R U R U2 R U' R U R U2 R' U' R U R' U' R' U2  (21f) 
U2 R' U' R U' R' U' R' U R U R2 U' R' U' R U' R2 U' R' U2  (21f) 
U R' U' R' U' R U R' U R2 U2 R2 U' R' U' R' U2 R2 U' R' U2  (21f) 
U2 R' U' R2 U2 R' U' R' U2 R U R U2 R' U' R' U2 R2 U' R' U2  (21f) 
U2 R U R2 U' R2 U R2 U2 R2 U' R U' R' U R U R2 U' R' U2  (21f) 
U2 R' U' R2 U' R U' R' U' R2 U R U R' U' R' U' R U' R' U2  (21f) 
U2 R' U2 R' U' R U2 R2 U2 R' U R U2 R2 U R' U' R U' R' U2  (21f) 
U2 R2 U' R' U2 R' U' R2 U2 R' U' R' U R2 U' R2 U' R U' R' U2  (21f) 
U2 R' U2 R' U R2 U' R2 U2 R U' R' U2 R' U2 R U' R U' R' U2  (21f) 
U' R' U2 R U' R' U2 R2 U2 R U2 R2 U2 R U' R U R U' R' U2  (21f) 
U R U R U R' U' R2 U2 R2 U R' U R U' R2 U' R' U2 R' U2  (21f) 
U2 R' U' R U' R' U R2 U2 R U R' U2 R2 U2 R U' R' U2 R' U2  (21f) 
U2 R' U' R U' R U2 R' U2 R' U' R U2 R2 U' R2 U R' U2 R' U2  (21f) 
U2 R U R U' R2 U' R U2 R' U' R U' R U R2 U R U2 R' U2  (21f) 
U R2 U2 R' U' R U' R2 U' R U R' U R U' R' U R U R' U2  (21f) 
U2 R' U' R' U R2 U' R U' R' U' R2 U R U' R U R U R' U2  (21f) 
U2 R' U' R' U R U' R' U2 R U R U' R U2 R U R U R' U2  (21f) 
U2 R' U' R U' R2 U' R2 U R' U' R' U2 R2 U' R' U2 R' U' R2 U2  (21f) 
U' R2 U R' U' R2 U2 R2 U R' U R2 U2 R2 U' R2 U R' U' R2 U2  (21f) 
U2 R2 U R U R2 U R' U2 R' U2 R U R2 U2 R2 U R' U' R2 U2  (21f) 
U2 R U2 R2 U R' U R2 U R2 U' R U2 R2 U' R' U' R2 U' R2 U2  (21f) 
U R2 U2 R U' R' U R U R2 U R' U' R U' R2 U2 R2 U' R2 U2  (21f) 
U R2 U2 R' U' R2 U2 R2 U R' U R U' R2 U' R' U' R U' R2 U2  (21f) 
U2 R2 U R' U R' U' R U' R2 U2 R2 U R' U R2 U' R U' R2 U2  (21f) 
U2 R U' R U2 R U2 R' U' R' U2 R U2 R' U' R2 U R U' R2 U2  (21f) 
U2 R2 U2 R' U' R U2 R U R2 U R2 U R U2 R U' R' U2 R2 U2  (21f) 
U2 R U' R2 U' R' U2 R' U2 R' U' R2 U' R U R2 U2 R' U2 R2 U2  (21f) 
U R2 U' R U' R U R2 U' R' U' R2 U R U' R U R' U2 R2 U2  (21f) 
U R2 U R' U R' U' R2 U R U R2 U' R' U R' U' R U2 R2 U2  (21f) 
U2 R2 U' R U' R2 U R' U R2 U2 R2 U' R U' R' U R' U R2 U2  (21f) 
U R2 U2 R U R2 U2 R2 U' R U' R' U R2 U R U R' U R2 U2  (21f) 
U R2 U2 R' U R U' R' U' R2 U' R U R' U R2 U2 R2 U R2 U2  (21f) 
U' R2 U' R U R2 U2 R2 U' R U' R2 U2 R2 U R2 U' R U R2 U2  (21f) 
U2 R2 U' R' U R2 U2 R2 U R U2 R' U2 R' U R2 U R U R2 U2  (21f) 
U R2 U2 R U R' U R2 U R' U' R U' R' U R U' R' U' R U2  (21f) 
U2 R2 U2 R' U2 R2 U R U' R2 U' R' U2 R' U2 R' U' R2 U' R U2  (21f) 
U2 R2 U' R U R2 U' R' U2 R U2 R' U' R' U2 R U2 R U' R U2  (21f) 
U2 R2 U' R2 U' R' U' R2 U2 R U' R2 U R2 U R' U R2 U2 R U2  (21f) 
U R' U' R' U' R U R2 U2 R2 U' R U' R' U R2 U R U2 R U2  (21f) 
U' R U2 R' U R U2 R2 U2 R' U2 R2 U2 R' U R' U' R' U R U2  (21f) 
U2 R' U' R2 U R U R' U' R U' R2 U2 R2 U R2 U' R2 U R U2  (21f) 
U R U R U R' U' R U' R2 U2 R2 U R U R U2 R2 U R U2  (21f) 
U2 R' U2 R U R2 U R U' R U' R' U2 R U' R2 U' R U R U2  (21f) 
U R2 U R' U' R' U R U R U' R U' R' U' R' U R U R U2  (21f) 
U R' U2 R U R2 U' R' U' R2 U R U' R U R' U R U R U2  (21f) 
U R2 U R' U' R' U' R U R U' R U' R' U' R U R U R U2  (21f) 
U2 R' U' R2 U2 R' U' R' U' R2 U2 R2 U R' U R U' R' U' R' U  (21f) 
U2 R U2 R U R2 U R' U' R U' R2 U2 R2 U R U' R' U' R' U  (21f) 
U' R' U2 R U' R' U' R U2 R U' R2 U2 R' U2 R' U2 R' U' R' U  (21f) 
U' R U2 R2 U2 R' U' R U2 R' U2 R' U R U2 R U' R U' R' U  (21f) 
U' R' U2 R' U2 R2 U' R' U' R' U' R2 U R2 U2 R' U R U' R' U  (21f) 
U' R' U2 R2 U2 R2 U2 R2 U2 R U R' U' R U2 R U R U' R' U  (21f) 
U' R' U' R U R' U2 R2 U R2 U' R' U' R' U' R2 U2 R' U2 R' U  (21f) 
U' R' U' R U R U2 R U' R' U R U2 R2 U2 R2 U2 R2 U2 R' U  (21f) 
U R U R' U R' U2 R' U' R U2 R U2 R' U R U2 R2 U2 R' U  (21f) 
U R U2 R2 U' R' U' R2 U R2 U R U R' U' R' U R2 U2 R' U  (21f) 
U' R U2 R2 U' R U R U' R' U' R2 U' R2 U R U R2 U2 R' U  (21f) 
U' R' U' R' U2 R' U2 R' U2 R2 U' R U2 R U' R' U' R U2 R' U  (21f) 
U' R2 U R' U' R' U' R U2 R' U' R2 U' R' U R' U R U2 R' U  (21f) 
U2 R U R U R' U R U' R U R2 U' R' U' R2 U R U2 R' U  (21f) 
